Data set,All Authors affiliated with Dartmouth College,,,,,,,,,,
Entity,Dartmouth College,,,,,,,,,,
Year range,2013 to >2023,,,,,,,,,,
Types of publications included,all publication types,,,,,,,,,,
Self-citations,included,,,,,,,,,,
,,,,,,,,,,,
Data source,Scopus,,,,,,,,,,
Date last updated,12-Jun-24,,,,,,,,,,
,,,,,,,,,,,
Name,Scholarly Output,Most recent publication,Citations,Citations per Publication,Field-Weighted Citation Impact,h-index,Output in Top 10% Citation Percentiles (field-weighted),Oldest publication (since 1996),Scopus author ID,Scopus author profile,Primary author affiliation
"Jobst, Barbara C.",72,2024,2112,29.3,1.72,42,14,2000,7004544528,https://www.scopus.com/authid/detail.url?authorId=7004544528,American Academy of Neurology
"Stauth, Jason T.",71,2024,1749,24.6,3.85,25,38,2012,15754958600,https://www.scopus.com/authid/detail.url?authorId=15754958600,Dartmouth College
"Friedman, Matthew J.",71,2024,5389,75.9,3.23,59,60,1996,7403710869,https://www.scopus.com/authid/detail.url?authorId=7403710869,Dartmouth College
"Wu, Gang",70,2024,1003,14.3,1.19,55,31,1996,7005074219,https://www.scopus.com/authid/detail.url?authorId=7005074219,Unknown affiliation
"Kettenbach, Arminja N.",70,2024,2282,32.6,1.23,33,11,2009,23019182500,https://www.scopus.com/authid/detail.url?authorId=23019182500,Dartmouth College
"Salas, Lucas A.",69,2024,1621,23.5,2.19,22,21,2016,55354465100,https://www.scopus.com/authid/detail.url?authorId=55354465100,Dartmouth College
"Hudson, Mary K.",69,2024,2800,40.6,1.47,39,23,1996,7202191803,https://www.scopus.com/authid/detail.url?authorId=7202191803,Dartmouth College
"Barnato, Amber E.",69,2024,904,13.1,1.22,48,5,2017,57196315994,https://www.scopus.com/authid/detail.url?authorId=57196315994,Dartmouth College
"Soneji, Samir S.",69,2021,53315,772.7,50.43,41,41,2011,57204096389,https://www.scopus.com/authid/detail.url?authorId=57204096389,University of North Carolina at Chapel Hill
"Hassanpour, Saeed",68,2024,2176,32,2.34,27,25,2016,56835377400,https://www.scopus.com/authid/detail.url?authorId=56835377400,Dartmouth College
"Emond, Jennifer A.",67,2024,1240,18.5,1.42,28,11,2014,56402794100,https://www.scopus.com/authid/detail.url?authorId=56402794100,Dartmouth College
"Scherer, Emily Blood",67,2022,2244,33.5,1.79,27,14,2014,56689465500,https://www.scopus.com/authid/detail.url?authorId=56689465500,Dartmouth College
"Shi, Xun",67,2024,1320,19.7,1.25,35,18,2004,7402953484,https://www.scopus.com/authid/detail.url?authorId=7402953484,Dartmouth College
"Olson, Daniel G.",67,2023,2146,32,1.61,30,17,2010,36603172300,https://www.scopus.com/authid/detail.url?authorId=36603172300,Dartmouth College
"Dominy, Nathaniel J.",66,2024,1524,23.1,1.51,42,13,2011,6603936273,https://www.scopus.com/authid/detail.url?authorId=6603936273,Dartmouth College
"Goodney, Philip P.",66,2024,550,8.3,1.88,19,14,2018,57226234903,https://www.scopus.com/authid/detail.url?authorId=57226234903,Unknown affiliation
"Bynum, Julie P.W.",65,2021,3143,48.4,2.71,38,24,2004,35776051900,https://www.scopus.com/authid/detail.url?authorId=35776051900,"University of Michigan, Ann Arbor"
"Nyhan, Brendan",65,2024,6750,103.8,7.93,39,36,2012,35759060800,https://www.scopus.com/authid/detail.url?authorId=35759060800,Dartmouth College
"Chen, Zi",65,2021,3339,51.4,1.64,29,9,2015,55251851900,https://www.scopus.com/authid/detail.url?authorId=55251851900,Harvard University
"Williams, Scott M.",64,2019,2022,31.6,1.3,59,12,2012,7404835124,https://www.scopus.com/authid/detail.url?authorId=7404835124,Case Western Reserve University
"Titus, Linda J.",64,2024,1774,27.7,1.53,28,15,2012,55178000800,https://www.scopus.com/authid/detail.url?authorId=55178000800,Dartmouth-Hitchcock Clinic
"Kuppusamy, Periannan",64,2024,1305,20.4,0.96,61,5,2013,7005085117,https://www.scopus.com/authid/detail.url?authorId=7005085117,Dartmouth College
"Perovich, Donald K.",63,2024,2141,34,2.34,63,24,2011,7004353965,https://www.scopus.com/authid/detail.url?authorId=7004353965,Dartmouth College
"Romano, Megan E.",63,2024,925,14.7,1.57,24,12,2017,56555859600,https://www.scopus.com/authid/detail.url?authorId=56555859600,Dartmouth College
"Mahler, Donald A.",63,2024,2084,33.1,2.18,52,25,1996,7102483818,https://www.scopus.com/authid/detail.url?authorId=7102483818,Dartmouth College
"Pomerance, Carl",62,2024,212,3.4,0.87,16,6,2004,6602832219,https://www.scopus.com/authid/detail.url?authorId=6602832219,Unknown affiliation
"Williams, Benjamin B.",62,2024,1096,17.7,1.78,29,19,2006,7404503197,https://www.scopus.com/authid/detail.url?authorId=7404503197,Dartmouth College
"Rees, Judy R.",62,2024,2979,48,2.99,34,18,2002,8402743000,https://www.scopus.com/authid/detail.url?authorId=8402743000,Dartmouth-Hitchcock Clinic
"Vosoughi, Soroush",62,2024,659,10.6,1.53,18,10,2020,25655603900,https://www.scopus.com/authid/detail.url?authorId=25655603900,Dartmouth College
"Kerr, Darcy A.",61,2024,294,4.8,1.06,16,7,2019,39863109400,https://www.scopus.com/authid/detail.url?authorId=39863109400,Dartmouth College
"Xie, Haiyi",60,2023,1578,26.3,1.47,47,27,1997,7401673365,https://www.scopus.com/authid/detail.url?authorId=7401673365,Dartmouth College
"Jarvis, Lesley A.",60,2024,973,16.2,1.17,24,8,2012,7101946285,https://www.scopus.com/authid/detail.url?authorId=7101946285,Unknown affiliation
"Lewis, Lionel D.",60,2023,1311,21.9,1.26,35,16,1996,7402152451,https://www.scopus.com/authid/detail.url?authorId=7402152451,Dartmouth College
"Renshaw, Carl Edward",60,2024,941,15.7,1.27,30,14,1997,7005154310,https://www.scopus.com/authid/detail.url?authorId=7005154310,Unknown affiliation
"Duchaine, Bradley C.",59,2024,1976,33.5,1.64,54,15,2011,6603600901,https://www.scopus.com/authid/detail.url?authorId=6603600901,Dartmouth College
"Dunlap, Jay C.C.",59,2024,2198,37.3,1.84,68,45,1996,26425843500,https://www.scopus.com/authid/detail.url?authorId=26425843500,Dartmouth College
"Elliott, Jonathan Thomas",58,2024,586,10.1,1.13,20,6,2014,57207717222,https://www.scopus.com/authid/detail.url?authorId=57207717222,Dartmouth College
"Whitfield, Michael L.",58,2023,2042,35.2,2.03,25,15,2012,57204347416,https://www.scopus.com/authid/detail.url?authorId=57204347416,Dartmouth College
"Riblet, Natalie B.V.",58,2024,1160,20,1.41,16,6,2014,56201386500,https://www.scopus.com/authid/detail.url?authorId=56201386500,Department of Veterans Affairs
"Demidenko, Eugene I.",57,2024,1514,26.6,1.36,45,21,1996,7003550138,https://www.scopus.com/authid/detail.url?authorId=7003550138,Dartmouth College
"Fan, Xiaoyao",57,2024,320,5.6,0.76,13,10,2009,26647446600,https://www.scopus.com/authid/detail.url?authorId=26647446600,Dartmouth College
"Chen, Celia Y.",57,2024,1326,23.3,1.3,35,19,1996,57201937302,https://www.scopus.com/authid/detail.url?authorId=57201937302,Unknown affiliation
"Strauss, Justin V.",57,2024,1290,22.6,1.68,30,13,2015,36025994200,https://www.scopus.com/authid/detail.url?authorId=36025994200,Unknown affiliation
"Stanton, Bruce A.",57,2024,1540,27,8.03,46,20,1996,7102145635,https://www.scopus.com/authid/detail.url?authorId=7102145635,Dartmouth College
"McGarry, Matthew D.J.",57,2024,1573,27.6,1.81,27,23,2010,57204295150,https://www.scopus.com/authid/detail.url?authorId=57204295150,Dartmouth College
"Goodman, David C.",57,2024,2343,41.1,3.36,45,50,1996,7401858854,https://www.scopus.com/authid/detail.url?authorId=7401858854,Unknown affiliation
"Binagwaho, Agnès",57,2021,2151,37.7,2.94,49,17,2013,8314417100,https://www.scopus.com/authid/detail.url?authorId=8314417100,University of Global Health Equity
"Millan, R. M.",56,2024,1644,29.4,1.16,28,7,2006,7004297838,https://www.scopus.com/authid/detail.url?authorId=7004297838,Dartmouth College
"Li, Zhigang",56,2021,3772,67.4,2.54,34,19,2012,57075304600,https://www.scopus.com/authid/detail.url?authorId=57075304600,University of Florida
"Gatewood Hoen, Anne Gatewood",56,2024,8092,144.5,3.58,28,17,2011,31267459800,https://www.scopus.com/authid/detail.url?authorId=31267459800,Dartmouth College
"Nelson, Eugene C.",56,2024,1545,27.6,1.88,36,22,1996,7402264648,https://www.scopus.com/authid/detail.url?authorId=7402264648,Dartmouth College
"Punshon, Tracy",55,2024,2028,36.9,1.9,37,23,2006,6603210065,https://www.scopus.com/authid/detail.url?authorId=6603210065,Unknown affiliation
"Carpenter-Song, Elizabeth A.",55,2024,762,13.9,1.27,22,10,2009,22952684900,https://www.scopus.com/authid/detail.url?authorId=22952684900,Dartmouth College
"Flood, Ann Barry",55,2024,644,11.7,1.5,23,16,1996,7006079521,https://www.scopus.com/authid/detail.url?authorId=7006079521,Unknown affiliation
"Holtzheimer, Paul E.H.",55,2024,1963,35.7,2.33,45,16,1999,6602481736,https://www.scopus.com/authid/detail.url?authorId=6602481736,Dartmouth College
"Meaney, Paul M.",55,2024,876,15.9,0.94,38,30,1996,7003545137,https://www.scopus.com/authid/detail.url?authorId=7003545137,Dartmouth College
